,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,github_release_downloads,monthly_downloads
0,🤗 Datasets Viewer,https://huggingface.co/datasets/viewer/,huggingface/datasets,nlp,True,https://github.com/huggingface/datasets,Apache-2.0,2020-03-26 09:23:22,2021-01-15 23:08:54,2021-01-15 10:08:18,668.0,134.0,314.0,6509.0,1238.0,2021-01-13 15:29:57,1.2.1,13.0,"The largest hub of ready-to-use NLP datasets for ML models with fast, easy-to-use and efficient data manipulation tools.",263.0,263.0,202.0,25,1,,,
1,HiPlot,https://facebookresearch.github.io/hiplot/tuto_streamlit.html,facebookresearch/hiplot,extension,True,https://github.com/facebookresearch/hiplot,MIT,2019-11-08 13:06:41,2021-01-11 09:04:54,2021-01-11 08:56:16,89.0,6.0,41.0,1885.0,110.0,,,,HiPlot makes understanding high dimensional data easy.,2.0,2.0,6.0,13,1,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5efcfd29b5f47b2e77291252_Screen%20Recording%202020-07-01%20at%2006.08%20PM.gif,,
2,Traingenerator,https://traingenerator.jrieke.com/,jrieke/traingenerator,ml,True,https://github.com/jrieke/traingenerator,MIT,2020-12-03 16:47:16,2021-01-14 13:51:59,2021-01-14 13:51:53,106.0,7.0,,862.0,,,,,A web app to generate template code for machine learning.,,,,10,2,https://github.com/jrieke/traingenerator/raw/main/docs/assets/demo.gif,,
3,Udacity Self-driving Car,https://share.streamlit.io/streamlit/demo-self-driving,streamlit/demo-self-driving,demo,True,https://github.com/streamlit/demo-self-driving,Apache-2.0,2019-09-06 21:02:45,2021-01-04 13:47:46,2021-01-04 13:47:45,221.0,1.0,8.0,730.0,102.0,,,,Streamlit app demonstrating an image browser for the Udacity self-driving-car dataset with realtime object detection..,,,12.0,13,1,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d93ea8434e97414e47f_5e1115140227d02d6777adcb_AV_website_large.gif,,
4,spaCy,https://share.streamlit.io/ines/spacy-streamlit-demo/master/app.py,explosion/spacy-streamlit,extension,True,https://github.com/explosion/spacy-streamlit,MIT,2020-06-23 11:00:08,2020-10-29 20:24:07,2020-10-15 16:34:33,47.0,1.0,5.0,317.0,30.0,,,5.0,spaCy building blocks and visualizers for Streamlit apps.,,,6.0,12,2,https://user-images.githubusercontent.com/13643239/85388081-f2da8700-b545-11ea-9bd4-e303d3c5763c.png,,
5,Insight,https://github.com/abhimishra91/insight,abhimishra91/insight,nlp,True,https://github.com/abhimishra91/insight,GPL-3.0,2020-07-07 07:26:08,2020-09-02 22:26:24,2020-09-02 22:26:05,28.0,4.0,4.0,232.0,120.0,,,,Repository for Project Insight: NLP as a Service.,,,,10,2,https://github.com/abhimishra91/insight/raw/master/meta/streamlit-NLPfiy.gif,,
6,Face-GAN Explorer,https://share.streamlit.io/streamlit/demo-face-gan/,streamlit/demo-face-gan,demo,True,https://github.com/streamlit/demo-face-gan,Apache-2.0,2020-02-03 17:15:17,2020-10-15 05:51:22,2020-10-15 05:51:21,46.0,3.0,5.0,163.0,61.0,,,,A demonstration of using a live Tensorflow session to create an interactive face-GAN explorer.,,,11.0,11,2,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed14fdf59392828954fa44d_5e11152b0227d05a0277ae20_gan_website_large.gif,,
7,Uber Pickups in NYC,https://share.streamlit.io/streamlit/demo-uber-nyc-pickups/,streamlit/demo-uber-nyc-pickups,demo,True,https://github.com/streamlit/demo-uber-nyc-pickups,Apache-2.0,2019-09-18 18:00:32,2021-01-05 12:58:25,2021-01-05 12:58:23,63.0,,3.0,126.0,23.0,,,,A Streamlit demo to interactively visualize Uber pickups in New York City.,,,8.0,11,2,https://assets.website-files.com/5eb1d49f3ed8c28a5a54769f/5ed15d215b6f4928a0997155_5e1115200227d0333277addb_uber_website_large.gif,,
8,Year on Github,http://gh2020.jrieke.com/,jrieke/year-on-github,non-ml,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2021-01-14 14:08:02,2021-01-14 14:07:56,2.0,,1.0,102.0,,,,,Share your Github stats for 2020 on Twitter.,,,2.0,6,2,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,,
9,net2net,https://github.com/CompVis/net2net,CompVis/net2net,cv,True,https://github.com/CompVis/net2net,,2020-10-21 13:07:40,2020-12-19 10:42:41,2020-12-19 10:42:28,7.0,3.0,2.0,99.0,45.0,,,,Network-to-Network Translation with Conditional Invertible Neural Networks.,,,2.0,6,3,,,
10,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2020-12-20 15:44:53,2020-12-20 15:44:52,14.0,1.0,4.0,78.0,56.0,,,,Simple web app example using streamlit and FastAPI to serve a PyTorch model.,,,2.0,9,3,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,,
11,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2021-01-02 18:10:07,2020-12-06 04:06:30,14.0,1.0,,75.0,36.0,,,,A cheat sheet for streamlit.,,,3.0,9,1,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,,
12,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,andfanilo/streamlit-drawable-canvas,extension,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2020-11-27 15:00:54,2020-11-27 15:00:52,9.0,9.0,16.0,65.0,56.0,,,,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",72.0,72.0,3.0,13,1,https://github.com/andfanilo/streamlit-drawable-canvas/raw/master/img/demo.gif,,
13,MQTT Camera Streamer,https://github.com/robmarkcole/mqtt-camera-streamer,robmarkcole/mqtt-camera-streamer,cv,True,https://github.com/robmarkcole/mqtt-camera-streamer,GPL-3.0,2019-07-21 03:48:41,2020-12-31 10:15:55,2020-11-27 08:58:10,24.0,7.0,11.0,63.0,62.0,2020-07-19 06:52:57,0.6,6.0,Stream images from a connected camera over MQTT & view using Streamlit.,,,,11,1,https://github.com/robmarkcole/mqtt-camera-streamer/raw/master/docs/images/viewer_usage.png,,
14,E2E ML App w/ PyTorch,https://github.com/madewithml/e2e-ml-app-pytorch,madewithml/e2e-ml-app-pytorch,ml,True,https://github.com/madewithml/e2e-ml-app-pytorch,MIT,2020-04-29 22:50:19,2020-07-29 19:20:26,2020-06-21 00:52:56,15.0,,,62.0,19.0,,,,"An end-to-end ML applications using PyTorch, W&B, FastAPI, Docker, Streamlit and Heroku https://e2e-ml-app-..",,,,8,3,,,
