,name,homepage,image,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,release_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads
47,Analytics,https://github.com/jrieke/streamlit-analytics,https://github.com/jrieke/streamlit-analytics/raw/main/images/example.png,jrieke/streamlit-analytics,extension,True,https://github.com/jrieke/streamlit-analytics,MIT,2021-01-03 20:57:54,2021-01-04 21:36:37,2021-01-04 21:36:30,,1.0,,6.0,,Track & visualize user interactions with your streamlit app.,,,,6,3,,,,,
48,Picture-lytics,https://github.com/KimaruThagna/Picture-lytics,,KimaruThagna/Picture-lytics,cv,True,https://github.com/KimaruThagna/Picture-lytics,,2020-04-25 12:32:03,2020-04-29 19:20:10,2020-04-29 19:14:09,3.0,,,6.0,21.0,Using Google's teachable machine to generate an image classification model and serving the model via streamlit. The..,,,2.0,5,3,,,,,
49,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2020-12-04 21:40:35,2020-12-04 21:40:35,6.0,,2.0,5.0,41.0,Streamlit viewer for GW data.,,,2.0,6,3,,,,,
50,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2020-12-03 13:19:12,2020-12-03 13:12:41,,,,5.0,,Streamlit component to render Lottie animations.,,,,6,3,,,,,
51,Covid Tracking,https://share.streamlit.io/panditpranav/svm_covid_tracking/main/COVID_app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fb670b335879e9b9f2e71be_covid.jpg,PanditPranav/SVM_COVID_tracking,sci-tech,True,https://github.com/PanditPranav/SVM_COVID_tracking,,2020-06-14 02:48:44,2020-12-06 07:07:54,2020-11-28 21:09:38,5.0,,1.0,3.0,54.0,COVID Tracking app for data in Northern California.,,,3.0,7,3,,,,,
52,Deep Dream,https://github.com/streamlit/demo-deepdream,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5ede25309928736fdf811d24_5e1115355aa398cf5ffd5c4e_deep_dream_website_large.gif,streamlit/demo-deepdream,demo,True,https://github.com/streamlit/demo-deepdream,Apache-2.0,2020-10-02 23:36:34,2020-10-02 23:37:42,2020-09-26 00:31:54,3.0,,,3.0,19.0,A Streamlit demo demonstrating the Deep Dream technique. Adapted from the TensorFlow Deep Dream tutorial.,,,,6,3,,,,,
53,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2020-12-17 19:22:59,2020-12-17 18:57:35,,,,2.0,,A streamlit component to embed video and music players from various websites.,2.0,2.0,,5,3,,,,,
54,Disqus,https://share.streamlit.io/okld/streamlit-disqus-demo/main/app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadc19b3ab50d39d611dc_app2.jpg,okld/streamlit-disqus,extension,True,https://github.com/okld/streamlit-disqus,MIT,2020-12-10 19:10:31,2020-12-17 19:09:27,2020-12-17 19:09:02,,,,1.0,,A streamlit component to embed Disqus in your applications.,2.0,2.0,,5,3,,,,,
55,Discourse,https://share.streamlit.io/okld/streamlit-discourse-demo/main/app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadaf22a77e5914b03977_app3.jpg,okld/streamlit-discourse,extension,True,https://github.com/okld/streamlit-discourse,MIT,2020-12-16 22:14:54,2020-12-17 19:22:43,2020-12-17 18:36:41,1.0,,,,,A streamlit component to embed Discourse topics in your applications.,1.0,1.0,,5,3,,,,,
56,Interactive COVID-19,https://covid19.multivacplatform.org/,,,sci-tech,True,,,,,,,,,,,"Analyze the cumulative data of confirmed, deaths, and recovered cases over time.",,,,1,3,,,,,
