,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
46,Image Classification App,https://github.com/smaranjitghose/img_ai_app_boilerplate,smaranjitghose/img_ai_app_boilerplate,cv,True,https://github.com/smaranjitghose/img_ai_app_boilerplate,MIT,2020-09-10 10:07:03,2021-03-28 11:52:14,2021-03-28 11:52:07,14.0,14.0,17.0,23.0,94.0,2021-01-27 14:23:07,0.0.1,1.0,An image classification app boilerplate to serve your deep learning models asap!.,,,7.0,12,1,,,,,,
47,Analytics,https://github.com/jrieke/streamlit-analytics,jrieke/streamlit-analytics,extension,True,https://github.com/jrieke/streamlit-analytics,MIT,2021-01-03 20:57:54,2021-04-08 20:20:55,2021-04-08 20:20:51,2.0,5.0,1.0,21.0,,,,,Track & visualize user interactions with your streamlit app.,13.0,13.0,,9,3,https://github.com/jrieke/streamlit-analytics/raw/main/images/example.png,,3.0,,,
48,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,zachrenwick/streamlit_forecasting_app,business,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2020-05-27 03:51:14,2020-05-19 07:02:39,10.0,3.0,,21.0,19.0,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,,8,3,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,,,,,
49,Webapp Computer Vision,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,amineHY/WebApp-Computer-Vision-streamlit,cv,True,https://github.com/amineHY/WebApp-Computer-Vision-streamlit,,2020-02-03 15:11:02,2020-07-04 13:20:02,2020-02-07 14:55:48,13.0,2.0,,21.0,5.0,,,,Computer Vision application in the web.,,,,6,3,https://github.com/amineHY/WebApp-Computer-Vision-streamlit/raw/master/media/preview_app.gif,,,,,
50,"Alph, The Sacred River",https://share.streamlit.io/thoppe/alph-the-sacred-river/main,thoppe/alph-the-sacred-river,cv,True,https://github.com/thoppe/alph-the-sacred-river,,2021-01-11 23:17:37,2021-01-24 20:40:34,2021-01-24 20:40:15,5.0,1.0,,20.0,,,,,Combines poems and text using CLIP from OpenAI.,,,,4,3,,,,,,
51,Covid-19 Data Explorer,https://covid19.cwerner.ai/,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2020-11-12 13:31:36,2020-11-12 13:31:29,3.0,1.0,2.0,19.0,30.0,,,,Dashboard for the COVID19 spread.,,,,8,1,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,,,,,
52,Genetic Ancestry,http://ezancestry.herokuapp.com/,arvkevi/ezancestry,sci-tech,True,https://github.com/arvkevi/ezancestry,MIT,2020-05-11 00:45:27,2021-03-25 00:38:02,2021-02-01 11:23:49,7.0,2.0,4.0,19.0,31.0,,,,Visualize your personal genetics data.,,,2.0,8,1,https://github.com/arvkevi/ezancestry/raw/master/images/ezancestry.png,,,,,
53,Rick & Morty Generator,https://share.streamlit.io/e-tony/story_generator/main/app.py,e-tony/Story_Generator,nlp,True,https://github.com/e-tony/Story_Generator,MIT,2020-10-26 20:53:41,2020-12-15 11:25:05,2020-12-15 11:25:04,4.0,,,19.0,,,,,A Streamlit app that generates Rick and Morty stories using GPT2.,,,,7,2,,,,,,
54,Matplotlib Configurator,https://github.com/dhaitz/matplotlib-style-configurator,dhaitz/matplotlib-style-configurator,non-ml,True,https://github.com/dhaitz/matplotlib-style-configurator,MIT,2020-07-07 16:29:40,2020-07-08 16:17:14,2020-07-08 16:14:59,2.0,,,19.0,17.0,,,,"Matplotlib style configurator, built with Streamlit.",,,,6,3,,,,,,
55,Auto Vaidya,https://auto-vaidya.herokuapp.com/,Auto-Vaidya/auto_vaidya,sci-tech,True,https://github.com/smaranjitghose/auto_vaidya,CC0-1.0,2020-06-05 21:20:31,2021-03-19 19:57:00,2021-03-19 19:56:58,20.0,9.0,15.0,18.0,76.0,,,,An open-source project for applying deep learning to medical scenarios.,,,9.0,8,1,,,,,,smaranjitghose/auto_vaidya
