,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
86,Travelling Salesman,https://github.com/miclindahl/tsp-streamlit/,miclindahl/tsp-streamlit,business,True,https://github.com/miclindahl/tsp-streamlit,,2020-01-16 08:16:19,2020-01-16 08:30:54,2020-01-16 08:30:53,3.0,,,3.0,4.0,,,,Animation of solving the traveling salesman problem to optimality using mixed-integer programming and iteratively..,,,,5,3,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif,,,,,
87,Liverpool Analyzer,https://liverpoolanalyzer.herokuapp.com/,saeeeeru/Last-Row,non-ml,True,https://github.com/saeeeeru/Last-Row,,2020-04-27 23:36:02,2020-08-18 07:00:21,2020-08-18 06:59:06,2.0,,,3.0,46.0,,,,Last row tracking data and code.,,,4.0,5,3,,,,,,
88,Music Generation,https://neuralpiano.herokuapp.com/,Sohaib90/Music_Gen_Streamlit,audio,True,https://github.com/Sohaib90/Music_Gen_Streamlit,,2020-03-31 11:15:35,2020-05-03 12:48:18,2020-05-03 12:46:00,,1.0,1.0,3.0,47.0,,,,Music Generation using Neural Networks Streamlit App.,,,2.0,4,3,,,,,,
89,Disqus,https://share.streamlit.io/okld/streamlit-disqus-demo/main/app.py,okld/streamlit-disqus,extension,True,https://github.com/okld/streamlit-disqus,MIT,2020-12-10 19:10:31,2020-12-17 19:09:27,2020-12-17 19:09:02,,,,2.0,,,,,A streamlit component to embed Disqus in your applications.,9.0,9.0,,5,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadc19b3ab50d39d611dc_app2.jpg,,,,,
90,Galaxy Zoo,https://share.streamlit.io/mwalmsley/galaxy-poster/gz_decals_mike_walmsley.py,mwalmsley/galaxy-poster,sci-tech,True,https://github.com/mwalmsley/galaxy-poster,,2020-06-25 09:55:46,2021-02-16 21:13:02,2021-02-16 21:12:58,,,,2.0,18.0,,,,Search galaxies by morphology.,,,2.0,3,3,https://pbs.twimg.com/media/EugE4y_XMAMls1_?format=jpg&name=4096x4096,True,,,,
91,GloVe Explorer,https://github.com/dkajtoch/glove_streamlit,dkajtoch/glove_streamlit,nlp,True,https://github.com/dkajtoch/glove_streamlit,,2019-10-14 21:14:14,2019-10-14 21:19:49,2019-10-14 21:19:32,,,,2.0,2.0,,,,Demonstration project of using Streamlit with word embeddings.,,,,2,3,https://github.com/dkajtoch/glove_streamlit/raw/master/screenshots/streamlit_glove_001.png,,,,,
92,Discourse,https://share.streamlit.io/okld/streamlit-discourse-demo/main/app.py,okld/streamlit-discourse,extension,True,https://github.com/okld/streamlit-discourse,MIT,2020-12-16 22:14:54,2020-12-17 19:22:43,2020-12-17 18:36:41,2.0,,,1.0,,,,,A streamlit component to embed Discourse topics in your applications.,4.0,4.0,,5,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadaf22a77e5914b03977_app3.jpg,,,,,
93,Brain Tumor Detector,https://share.streamlit.io/manik456/brain_tumor_classifier/main/new_brain.py,manik456/brain_tumor_classifier,sci-tech,True,https://github.com/manik456/brain_tumor_classifier,,2020-12-31 13:56:51,2021-01-06 12:50:51,2021-01-06 12:50:51,,,,1.0,,,,,Find out whether there is a tumor in the brain (or) not by uploading the MRI of it.,,,,2,3,https://aws1.discourse-cdn.com/business7/uploads/streamlit/optimized/2X/7/7403a602674d9dcfdb0cfc21b9a3f95e7e31c410_2_1380x776.png,,,,,
94,Monte Carlo for Pi,https://share.streamlit.io/mesmith027/streamlit_webapps/main/MC_pi/streamlit_app.py,mesmith027/streamlit_webapps,sci-tech,True,https://github.com/mesmith027/streamlit_webapps,,2020-10-17 16:02:26,2020-11-28 20:08:38,2020-11-23 22:29:54,1.0,,,,,,,,Using Monte Carlo to Estimate Pi.,,,2.0,2,3,,,,,,
95,Interactive COVID-19,https://covid19.multivacplatform.org/,,sci-tech,True,,,,,,,,,,,,,,"Analyze the cumulative data of confirmed, deaths, and recovered cases over time.",,,,1,3,,,,,,
96,Zero Shot Topic Classification,https://huggingface.co/zero-shot/,,nlp,True,,,,,,,,,,,,,,"This demo shows how Transformers can be used for zero-shot topic classification, the task of predicting a topic that..",,,,1,3,,,,,,
